label,pmid,sentence,design
0,27875537,"L-trp is a luminal regulator of CCK release with effects on gastric  emptying, an effect that could be mediated by CCK.",RCT
1,21842461,"LAGB seems to be a good option to treat obese adolescents, as it is  a minimally invasive procedure that does not radically change the patients anatomy and is associated with minimal morbidity.",Prospective
0,23968196,"Multiple epidemiologic, geographic, clinical, and immunologic factors are involved in the etiology of AP.",Case-Control
0,28544465,Nocturia and poor sleep are common among women with diabetes.,Cross-Sectional
2,26679453,Nurses should assess patient decision-making styles to ensure maximum patient involvement in the decision-making process based on personal desires regardless of age.,Cross-Sectional
0,28499048,Only one of the three methods allowed for the detection of changes from the normal capillary density as early as at the severe nonproliferative DR stage due to several refinements from the basic technique.,Retrospective
1,26908132,"Our findings indicate that the G8 score, based on patients nutritional assessments, is a useful screening method for older HCC patients who  qualify for elective liver resection.",Prospective
0,20184098,"Our findings suggest that greater levels of social support may improve certain indicators of physical and mental wellbeing in older adults with  type 2 diabetes, regardless of the presence of diabetes complications and other chronic pathologies.",Cross-Sectional
0,28602267,Our findings suggest that tension and post-surgical factors play a causal role in this hitherto undescribed entity: post-reconstruction dermatitis  of the breast.,Retrospective
1,28196498,"Our results provide support for interventions targeting childrens SSB intake focussing on the identified family and home-related factors, with active participation of parents.",Cross-Sectional
0,27434725,Our study suggests that osteosarcopenic elements exist even in very young populations.,Case-Control
0,27421262,"Overall, there are only a few, well-designed and controlled studies  that compare hospital care to different models of home care.",RCT
0,28622956,Participation in a daily physical activity program not only reduces  adiposity but also improves childrens cognitive function as demonstrated by an inhibitory control task.,RCT
0,28434805,PU incidence is related to severity of the patients condition and predicted by Braden Scale score.,Prospective
0,25604779,Reduced compliance with preoperative nutritional interventions remains a major issue because the expected benefit depends on the actual intake.,Retrospective
0,28379828,Retired adults were more likely to be physically active but were not more likely to be adhering to most of the Lifes Simple 7 lifestyle and cardiovascular risk factors.,Cross-Sectional
2,25986428,Routine microscopic examination of all LSG specimens is not necessary.,Prospective
0,28947271,RSL for breast conservation surgery has a low rate of positive margins even early in a surgeons experience.,Retrospective
0,27139170,Sexual function and satisfaction were affected to a greater extent than body image.,Cross-Sectional
0,28871806,Significant differences were found among patients visiting the cancer center versus the mobile mammography van.,Retrospective
0,28170407,Stunting prevalence may vary across space at different scale.,Cross-Sectional
0,27659086,Success of dental implant is significantly affected by bruxism.,Retrospective
0,27519769,Telmisartan improved the hyperglycemia-induced cardiac fibrosis through the PPARÎ´/STAT3 pathway.,Prospective
0,26438137,The anaemia rates that we identify in this study classify anaemia as a severe public health problem according to the WHO.,RCT
0,21514017,"The lifestyle intervention Obeldicks light was effective in reducing degree of overweight, fat mass, waist circumference, and blood pressure  both at end of intervention and in a 12 months follow-up period.",RCT
0,28056908,"The majority of schools did not have infrastructure to support physical activity, such as cycle lanes, marked pedestrian crossings, or traffic calming mechanisms such as school warning signs.",Cross-Sectional
0,27876519,The obesity paradox does exist in patients undergoing vascular surgery.,Retrospective
0,27894108,The prevalence of malnutrition in Chinese hospitals was similar to that in European hospitals.,Cross-Sectional
1,28412942,The research reveals that practical barriers and attitudes towards general health check-ups are important factors to take into account in determining African migrant womens participation in breast cancer screening.,Cross-Sectional
0,26227644,The study results suggest that type 2 diabetes per se or glycemic control is not a risk factor for experiencing postoperative complications in people undergoing dental extractions.,Case-Control
0,28449661,There is a nominal increased death risk in secondary breast angiosarcoma due to advanced clinicopathological features.,Retrospective
0,27484590,"These results suggest that maternal eating and emotion responsiveness are important for understanding the interpersonal context of feeding behaviors, and child weight outcomes.",Prospective
0,24720391,This appears to be the first review to examine health interventions for tertiary education staff.,Case-Control
0,28953717,"To the authors knowledge, this is the first study to evaluate discrepancies in number of procedures, revisions, and the proportion of patients  completing breast reconstruction among insurance types.",Retrospective
0,27278935,Transfers destined for food consumption combined with nutrition training reduced IPV among marginalised households in northern Ecuador.,RCT
0,28072873,We confirmed the robust association of MTNR1B rs10830963/G variant with GDM binary and glycemic traits in this Caucasian case-control study.,Case-Control
0,18650507,"(Current Controlled Trials number, ISRCTN74348595.)",RCT
0,23126252,"(Funded by F. Hoffmann-La Roche; dal-OUTCOMES ClinicalTrials.gov number, NCT00658515.)",RCT
0,22998340,"(Funded by the Netherlands Organization for Health Research and Development and others; DRINK ClinicalTrials.gov number, NCT00893529.)",RCT
1,26269162,"3D MRI reconstruction after NAC could accurately detects the residual tumors after neoadjuvant chemotherapy, and contribute to select patients who received breast conserving therapy after NAC with tumor downstaging.",Prospective
0,15051597,A daily intake of approximately 0.7 g DHA increases LDL cholesterol by 7% in middle-aged men and women.,RCT
0,20694301,A higher weight gain contributed in a negative manner to the presence of dyslipidemias in these patients.,Retrospective
0,14585107,A negative result would be used to inform the research agenda and contribute to redefining future strategies for tackling obesity.,RCT
0,14585107,A positive result from this study would enhance the repertoire of treatment approaches available for the management of obesity.,RCT
0,19098076,A rise in ketones following alcohol ingestion occurred despite subjects being in a strictly controlled environment with no interruption in insulin administration.,RCT
0,16129815,"Additional reductions in myocardial infarction, revascularization, and the development of diabetes were observed during the follow-up phase despite similar rates of ACEI use in the 2 randomized groups.",RCT
0,25716635,Additional studies are needed to determine appropriate insulin adjustments based on glucose trend data.,Retrospective
2,25987073,"Additionally, there is a need for improvement in the current health promotion programmes targeting breast cancer screening.",Cross-Sectional
0,26745807,Adiposity indicators and age play an important role in the prevalence of  overweight and obesity.,Cross-Sectional
1,23089573,"Adolescents with high risk factors, especially those with menstrual disorders and hyperandrogenism, may need careful clinical screening.",Cross-Sectional
0,27171508,Alogliptin 25\u2009mg once daily reduced HbA1c and FPG and enhanced clinical response compared with placebo when used as monotherapy or as an add-on  to metformin or pioglitazone.,RCT
0,24254930,"Although more complications occurred after discharge in the fast track care group, this did not lead to adverse outcomes.",Retrospective
0,17825613,Antidepressive drug treatment was not associated with RLS.,Cross-Sectional
2,24048366,Assessment of weight loss prior to MM  diagnosis should become a standard component of the clinical history in patients  with newly diagnosed MM.,Prospective
0,23046046,"Because a biopsy is indicated for persistent palpable masses, the addition of diagnostic MRI only adds another step, with associated costs and burdens.",Retrospective
0,18513305,"Because of founder effects, registry-based prevalence studies probably need to be very large and they should also include prospectively collected phenotypes  and extensive mutation screening to establish the true prevalence of MODY.",Cross-Sectional
0,16873779,Both a low-fat vegan diet and a diet based on ADA guidelines improved glycemic and lipid control in type 2 diabetic patients.,RCT
0,11368701,C-reactive protein provided additive  prognostic information over standard lipid measures.,Case-Control
2,24254930,Care providers should select their patients for early discharge and pursue a low threshold for readmission.,Retrospective
0,18726992,Certain reproductive factors may have a greater impact on the risk of certain molecular subtypes of disease compared with others.,Case-Control
0,25716635,"CGM users utilize CGM data to alter multiple aspects of their diabetes care, including insulin dose timing, dose adjustments, and in hypoglycemia prevention.",Retrospective
0,23089573,Chinese adolescents with PCOS manifest clinical and metabolic features similar to those of adult Chinese women with PCOS except for the increased prevalence of hyperandrogenism and insulin resistance.,Cross-Sectional
0,18513305,Clinical MODY criteria were fulfilled in 2.2% of diabetic HUNT2 subjects.,Cross-Sectional
0,16083526,Coadministration of ezetimibe and fluvastatin was safe and well tolerated and caused significant incremental reductions in LDL-C and total cholesterol compared to fluvastatin administered alone.,RCT
0,27630009,Condom use  did increase over time in both groups.,RCT
0,23685085,Corticosteroids may delay the time of onset of severe skin reactions and also reduce the incidence of severe radiation dermatitis.,RCT
0,11821702,"Current smokers are also at risk for systolic hypertension, especially in those subjects aged 60  years or older.",Cross-Sectional
1,20017910,Daily treatment with the combination of ezetimibe plus fenofibrate is an acceptable alternative to atorvastatin for the treatment of dyslipidemia in patients who are intolerant of statins.,RCT
0,23818415,"Decreased LMW, total, and HMW adiponectin levels are associated with diabetes.",Case-Control
0,26628417,"Despite diabetes-specific information recommending birth control and the avoidance of pregnancy, 10% of the study participants became pregnant.",RCT
0,27513490,Deterioration of the nutritional status coincided with a reduction in the consumption of all food groups except for ready meals and milk/dairy products whose consumption increased.,Cross-Sectional
0,19593813,"Diabetes is associated with an increased risk of hearing loss, and this difference is manifest particularly in adults <50 years old.",Cross-Sectional
0,11910606,"Diabetes is associated with less frequent use of HRT; conversely, osteoporosis/osteopenia is associated with more frequent HRT use.",Cross-Sectional
0,27513490,"Dietary patterns of the elderly population of Villanueva are departing from the traditional Mediterranean diet and though adequate consumption of fruits, milk/dairy products, oils/fats and sugar/confectionery has been achieved, cereals/grain products, vegetables and the meat, fish, eggs group consumption was below the desirable levels.",Cross-Sectional
0,24048366,Disease-related weight loss may be an important and heretofore unknown indicator of poor prognosis in MM.,Prospective
0,24951081,DP and torticollis are common and minor cervical imbalances very common in normal newborns.,Cross-Sectional
0,17716335,"During GH treatment, fT4 decreased significantly to low-normal levels.",RCT
0,21142752,Effects of Aerobic Exercise Training on Arterial Function and Insulin Resistance  Syndrome in Obese Children: A Randomised Controlled Trial: NCT00801645.,RCT
1,24254930,Fast track does enhance recovery and is suitable for unselected patients.,Retrospective
0,23768911,Follistatin and activin A are related to metabolic parameters in women with and without PCOS.,Cross-Sectional
0,23768911,Follistatin is elevated and activins A and B are not different between PCOS and controls.,Cross-Sectional
0,23768911,Follistatin may potentially act as a marker of or be involved in the pathophysiology of both reproductive and metabolic features of PCOS.,Cross-Sectional
0,11821702,"Former smokers are at risk for hypertension, probably because of the higher prevalence of overweight and obese subjects in this group.",Cross-Sectional
0,15228867,Forty-five  percent of the patients had permanent decline in GFR in association with pregnancy.,Cross-Sectional
0,26812506,Further development of a full Japanese version of the SCREEN II  is indicated.,Cross-Sectional
0,27029708,Further evaluation in a randomized trial enrolling TNBC patients is warranted.,RCT
0,24048366,"Further research may identify relationships between disease-related weight loss and currently used prognostic factors in MM, further  defining the role of this clinical factor in prognostic stratification.",Prospective
0,27513490,"Further research on the influence of fruit, milk/dairy products, wine and olive oil consumption on nutritional status is required.",Cross-Sectional
0,25781581,Further studies are needed to examine the impact of reproductive factors on early-onset BC in African women.,Case-Control
1,25386084,"Further, although there is a correlation between serum resistin levels and AP at the time of hospital admission, resistin does not adequately serve as a predictive marker of clinical severity.",Prospective
0,25099257,"Furthermore, future studies should report results stratified by gender and race and should adjust the results by more confounders.",Case-Control
0,18726992,Future studies that further define the etiology of breast cancer subtypes will add to the biologic understanding of this disease.,Case-Control
0,25977249,Future work is needed to examine the impact of improved glycemic  control on clinical outcomes following LER.,Prospective
0,20735748,"Future work with other pain conditions, including examination of potential mechanisms through which BMI impacts treatment outcomes, is recommended.",Retrospective
1,18650507,Genotyping these variants may help to achieve the benefits of statin therapy more safely and effectively.,RCT
0,26833765,Gradients in the determinants of overweight persisted.,Cross-Sectional
0,15329910,"Heavy alcohol consumption, diabetes, and viral hepatitis were found to exert independent and synergistic effects on risk of HCC in U.S. blacks and whites.",Case-Control
1,25295795,Hence weight-focused treatment approaches can help reduce the economic burden for patients with T2DM.,Retrospective
0,26944259,High sodium concentrations in spot urine were associated with subsequent systolic blood pressure increases among non-overweight normotensive individuals.,Prospective
0,10614261,"However, confirmation is needed in a larger sample, and questions that emerged require further exploration.",Cross-Sectional
0,9283783,"However, further longitudinal studies are needed to  examine the relationship of insulin resistance and/or surrogate markers to increased rates of NIDDM and CVD mortality in native Hawaiians.",Cross-Sectional
0,12629446,"However, no predictive criterion of long-term results could be established, except initial clinical severity and clinical change one month after treatment.",Retrospective
1,27029708,"However, the results confirm that the vaccine is safe and suggest that vaccination may have clinical benefit in patients with low HER2-expressing tumors, specifically TNBC.",RCT
0,11821702,"However, this risk is independent of body mass index.",Cross-Sectional
0,25754921,"Hyperammonemic encephalopathy after Roux-en-Y gastric bypass surgery is a newly recognized, potentially fatal syndrome with diverse pathophysiologic mechanisms encompassing genetic and nongenetic causes.",Retrospective
2,7565158,"IMPLICATIONS FOR PRACTICE: this study, and other research in this area, has implications for health professionals, including midwives with their particular involvement in prenatal care, and also highlights the need for a clearer focus on nutrition in nursing and midwifery education.",Case-Control
0,8709661,"In addition, most providers are not equally efficient in managing different chronic illnesses.",Cross-Sectional
0,25781581,"In contrast to studies in women of European ancestry, this study showed no transient increase in the risk of developing BC after FTP among African women.",Case-Control
0,27281306,"In contrast, the proportion of whole-grain rye to whole-grain wheat intake, indicated by the plasma C17:0-to-C21:0 ratio, was inversely associated with T2D.",Case-Control
0,26560487,"In human, however, transdermal application to the breast skin provides  local delivery.",RCT
0,23126252,"In patients who had had a recent acute coronary syndrome, dalcetrapib increased HDL cholesterol levels but did not reduce the risk of recurrent cardiovascular events.",RCT
0,25987073,"In the absence of regular systematic screening for breast cancer in  Jordan, the uptake of this preventive service is very low.",Cross-Sectional
0,19535242,"In this randomised trial, adjuvant treatment using tamoxifen for 2 years reduced the incidence of contralateral breast cancer by 50% in all premenopausal women, and by 90% in women <40 years of age.",RCT
0,25044768,"In type 2 diabetes patients, leukocyte telomere length is significantly reduced, whereas the telomerase activity seems less influenced.",RCT
0,20890001,It also offers the advantage  of enabling simultaneous sentinel lymph node biopsy for invasive cancers.,Retrospective
0,11910606,"It has also demonstrated that HRT is more frequently used by women of higher socioeconomic status, those with low BMI and smokers.",Cross-Sectional
2,25987073,It is essential for the country of Jordan to work on applying regular systematic mammography screening for breast cancer.,Cross-Sectional
0,15051597,It is suggested that DHA down-regulates the expression of the LDL receptor.,RCT
0,21842461,"It leads to a sustained improvement/resolution of OAC, and although weight loss is not continuous, it is  maintained over time.",Prospective
0,22998340,Masked replacement of sugar-containing beverages with noncaloric beverages reduced weight gain and fat accumulation in normal-weight children.,RCT
2,27630009,"More information on risk-taking behaviors  and STIs should be included in diabetes-specific preconception counseling programs, including RGPC.",RCT
0,25099257,More prospective cohort studies with longer follow-up durations  are warranted to confirm this association.,Case-Control
0,12971141,Multiple maternal risk factors and birth outcomes demonstrate the need for further research to evaluate methods of improving care in this population.,Retrospective
0,23046046,Negative MRI results may cause a low compliance rate for recommended follow-up.,Retrospective
0,21247513,Obesity is likely under-diagnosed using the standard WHO and NCEP-ATPIII guidelines.,Cross-Sectional
0,11368701,"Of 11 atherothrombotic biomarkers assessed at baseline, the total cholesterol-HDL-C ratio and CRP were the strongest independent predictors of development of peripheral arterial disease.",Case-Control
0,24779961,Only LCD was found significantly to improve the subclinical inflammatory state in type 2 diabetes.,RCT
1,25987073,Other areas that could be targeted in future initiatives in this field include access to screening in rural areas and removal of current barriers.,Cross-Sectional
2,11002377,Our findings suggest that for lowering LDL cholesterol concentrations it is not necessary to consume products rich in plant stanol ester at each meal or simultaneously with dietary cholesterol.,RCT
0,24951081,"Our results support the theory that in most cases neither DP nor torticollis is congenital, but rather develops and worsens synergistically in early infancy.",Cross-Sectional
0,19066301,Our study findings showed that oral DHEA administration in hypoadrenal women results in an unfavorable lipoprotein profile.,RCT
0,18829786,Parental BMI and steep weight gain in early childhood indicate markedly increased risk for becoming overweight.,RCT
2,19098076,Patient education material should contain information to highlight these potential problems.,RCT
0,24254930,Patients that received fast track care had a decreased length of stay.,Retrospective
0,15228867,Patients with diabetic nephropathy were found to have a > 40% chance of accelerated progression of their disease as a result of pregnancy.,Cross-Sectional
0,24618153,pCR is an independent predictor of favourable clinical outcomes in all molecular subtypes in a two-step multivariate analysis.,RCT
1,22294288,PDT can be performed safely in obese patients.,Retrospective
1,15459210,"PLD has efficacy comparable to that of common salvage regimens in patients with taxane-refractory metastatic breast cancer, thereby representing a useful therapeutic option.",RCT
0,20861291,Pre-existing diabetes was associated with a higher risk of death following CAP.,Retrospective
0,26628417,Pregnancies in youth with type 2 diabetes may be especially prone to result in congenital anomalies.,RCT
0,15228867,Pregnancy induced progression is seen in the decline of renal functions.,Cross-Sectional
2,25091056,Preoperative nutritional support should be introduced for nonmalnourished patients as it helps to maintain proper nutritional status and reduce number and severity of postoperative complications compared with patients  without such support.,RCT
0,23092644,Progression of small AAA seems to be more than 60% lower in patients with diabetes.,RCT
0,8709661,"Provider cost performance is not associated consistently with clinical performance, although severity differences not captured by the casemix adjustment may account for these observations.",Cross-Sectional
0,20890001,Radioguided occult lesion localisation excels in yielding a much shorter localisation time and is as good as hookwire localisation in terms of specimen margin clearance and need for re-excision.,Retrospective
0,26628417,"Reasons for the high rate of congenital anomalies are uncertain, but may include poor metabolic control and extreme obesity.",RCT
0,16442545,Regional fat distribution was related to lipid profile independently  of BMI.,Cross-Sectional
0,20735748,Results suggest a potential moderating role of BMI in low back pain outcomes.,Retrospective
0,27630009,"RGPC did not appear to directly affect general risk-taking behaviors  or STIs, since it focuses on diabetes and reproductive health issues.",RCT
0,17825613,RLS is prevalent in the general population in Sweden.,Cross-Sectional
0,17825613,RLS negatively influenced sleep and was associated with depressed mood.,Cross-Sectional
1,24532013,Robotic procedure was feasible and could be implemented for treating  the first setting of mixed indications for gynecologic surgery.,Retrospective
1,24532013,Robotic surgery may offer particular advantages in obese patients with no conversions and no wound complications.,Retrospective
0,25977249,Routine involvement of GMS improved glycemic control in patients undergoing LER.,Prospective
2,17053181,"Routine"" use of sNMES to the proximal affected upper limb after acute stroke cannot be recommended.",RCT
0,17299073,SCH treated by L-thyroxine leads to a significant improvement in CV risk factors and symptoms of tiredness.,RCT
0,25044768,Sitagliptin might protect β-cells in the pancreas by elongating the telomere length.,RCT
2,27659086,Special attention is required in such patients while doing treatment planning.,Retrospective
0,20735748,Standard cognitive-behavioral pain treatment did not yield comparable outcomes for obese and non-obese participants.,Retrospective
0,24951081,"Still, although no direct association between DP and torticollis was found, cranial shape is linked to cervical motion at birth.",Cross-Sectional
2,22443428,Strategies to find individuals with impaired glucose tolerance for implementation of lifestyle changes in primary care should therefore be developed further.,Cross-Sectional
1,21247513,Stressing the use of modified criteria more universally to classify obesity among South Asian Indians may be optimal to identify obesity  and help appropriately risk stratify for intervention to prevent chronic diseases.,Cross-Sectional
0,21834938,"Subcutaneous PP 1420 was well tolerated in healthy human subjects at single doses between 2-8 mg, with no tolerability issues arising.",RCT
0,21142752,Subjects stabilized BMI z-score and maintained physical activity with further improvement of BP and stabilization of arterial wall remodelling.,RCT
0,11772911,Subjects with PAD and diabetes have poorer lower extremity function  than those with PAD alone.,Cross-Sectional
0,19098076,Such individuals might be at risk of significant ketosis  in less-controlled circumstances where insulin administration might be more erratic.,RCT
0,17716335,"T3 levels were relatively high or normal, both before and during GH treatment, indicating that PWS children have increased T4 to T3 conversion.",RCT
1,23685085,The 3M barrier film may be helpful against dermatitis associated pruritus.,RCT
0,16083526,The apparent decrease in fluvastatin exposure on administration with ezetimibe was likely to be due to the parallel study design and two pharmacokinetic outliers and is considered of no clinical significance.,RCT
0,16129815,"The benefits of ramipril observed during the active period of the HOPE trial were maintained during posttrial follow-up for cardiovascular death, stroke, and hospitalization for heart failure.",RCT
0,18829786,The children who were overweight at 13 years of age gained more weight than their normal-weight peers by the age of 2 or 3 years onward.,RCT
0,20017910,The combination of ezetimibe plus fenofibrate appeared to produce nearly identical alterations in serum lipoprotein levels when compared to monotherapy with 10 mg of atorvastatin.,RCT
0,17299073,The CV risk factor reduction is related to the increased level of achieved free T(4) concentration.,RCT
0,19535242,The effect of tamoxifen was not significantly dependent on time.,RCT
0,21763463,The findings of this study confirm that balneotherapy is not contraindicated for hypertensive or obese patients.,RCT
1,22443428,The FINDRISC questionnaire is a useful instrument for identification of individuals with impaired glucose metabolism but seems less effective for detection of individuals with impaired glucose tolerance.,Cross-Sectional
0,18829786,"The girls became overweight by the age of 5 years, whereas the boys only after 8 years of age.",RCT
0,16442545,The independent contribution of waist and hip circumference in opposite directions was intriguing.,Cross-Sectional
0,25716635,The insulin adjustments are much larger than common recommendations.,Retrospective
0,20861291,"The mechanism is not due to an altered immune response, at least as measured by a broad panel of circulating and cell surface markers, but may be due to worsening of pre-existing cardiovascular and kidney disease.",Retrospective
0,18513305,The minimum prevalence of HNF1A-MODY among diabetic HUNT2 subjects was  0.4%.,Cross-Sectional
0,27029708,The overall intention-to-treat analysis demonstrates no benefit to vaccination.,RCT
0,16083526,The pharmacokinetics of ezetimibe were not affected by coadministration with fluvastatin.,RCT
0,25099257,The present meta-analysis suggests that insulin therapy may increase the risk of CRC.,Case-Control
0,26745807,The prevalence of overweight and obesity is about 70% among Chinese adults.,Cross-Sectional
0,26833765,The prevalence of overweight including obesity was stable among Swedish children between 2003 and 2011.,Cross-Sectional
0,21214610,"The results are consistent with gastrointestinal motility effects of TZP-101, supporting further investigation of TZP-101 in the management of severe gastroparesis.",RCT
0,20694301,"The results of the study show that in the course of HIV infection overweight/obesity affected men and women admitted with normal weight, although a greater proportion of women progressed to obesity.",Retrospective
0,17272832,The results provide  a suitable basis for a broader interdisciplinary discussion of the patient-physician relationship and should be useful in generating hypotheses for  subsequent prospective studies.,Prospective
0,21834938,"The results therefore support the conduct of clinical trials to investigate efficacy, tolerability and pharmacokinetics during repeated dosing.",RCT
0,19066301,The results warrant long-term studies to determine the impact of DHEA replacement on cardiovascular risk.,RCT
0,27171508,Therapy with alogliptin was well tolerated.,RCT
0,26833765,There was some evidence of a less steep socio-economic gradient in overweight in eight-year-old girls over time.,Cross-Sectional
0,22294288,There were no statistically significant differences in measured variables found between the two study groups.,Retrospective
2,20890001,Therefore it is a recommended procedure that should be used more widely.,Retrospective
0,23818415,These associations may be secondary to adiposity or insulin resistance.,Case-Control
0,16129815,These benefits were consistent regardless of patient risk or ancillary treatments.,RCT
1,20694301,"These data show the importance of monitoring body weight in the course  of HIV/AIDS treatment, even in those individuals who present normal body weight.",Retrospective
0,19784837,These factors should help determine the appropriate strategy for proposing a third line of chemotherapy.,Retrospective
0,16442545,These findings may help explain the associations observed between different fat distribution phenotypes and coronary heart disease.,Cross-Sectional
0,16873779,These improvements were greater with a low-fat vegan diet.,RCT
1,8709661,"These measurement methods and relationships between provider performance measures may be useful to state Medicaid programs that seek to contain costs, enhance coordination of care, and improve health.",Cross-Sectional
1,26560487,"These results demonstrate that lipophilic drugs can be developed for LTT; although the nude rat is suitable for testing drug permeability, delivery is systemic.",RCT
1,26812506,These results indicate that the NRST is a promising screening tool for the prediction of malnutrition and sarcopenia in community-dwelling older Japanese people.,Cross-Sectional
1,7569481,"This could be of importance for mammography screening; rather  than unselectively screening all women in a given age bracket, it might be preferable selectively to screen only the high risk group.",Case-Control
0,11772911,"This difference in functioning appears to be largely explained by diabetes-associated neuropathy, differences in exertional leg symptoms, and greater cardiovascular disease in patients with diabetes.",Cross-Sectional
0,23092644,"This may help to identify high-risk subgroups at higher likelihood of AAA enlargement, such as nondiabetics, for surveillance protocols in patients  with small AAA.",RCT
0,12629446,"This point allowed patients, in non-surgical chronic critical ischaemia, to avoid being confined to bed and to access to benefits of a early physiotherapy, in association with local treatment.",Retrospective
1,11930538,"This report confirms that sonographically guided large core needle biopsy is a safe, reliable and cost-effective method for the assessment of both palpable and nonpalpable, mammographically and sonographically detected breast abnormalities.",Retrospective
0,12629446,"This retrospective study, despite its limitations, underlines the clinical particularities of critical ischaemia in diabetics and the good tolerance to iloprost.",Retrospective
0,21763463,"This study contributes important information regarding the safety of balneotherapy in hypertensive and obese diabetics by showing no alterations of antioxidant, inflammatory, or metabolic indices.",RCT
0,9283783,This study provides cross-sectional data confirming the existence of the IRS in native Hawaiians.,Cross-Sectional
0,16412866,This study provides several lines of evidence for the dependence of  sCD40L release on TXA(2)-dependent platelet activation in T2DM and provides novel mechanistic insight into the amplification loops of persistent platelet activation in this setting.,RCT
1,22294288,This study supports the use of intensive care unit bedside PDT in the obese population.,Retrospective
2,17272832,This study underlines the need to give patients with breast cancer the full details on treatment options and cancer management.,Prospective
0,11910606,"This study, using a large dataset from an Italian population, has confirmed that smoking is related to age at menopause.",Cross-Sectional
1,27281306,This suggests that whole-grain intake dominated by rye may be favorable for T2D prevention.,Case-Control
1,20184098,"Thus, promoting social support for the IMSS diabetic patients could be a useful intervention.",Cross-Sectional
0,24779961,"To conclude, advice to follow LCD or LFD had similar effects on weight reduction while effects on inflammation differed.",RCT
0,21142752,"To our knowledge, this is the first study reporting that beneficial effects on adiposity and CVD risk factors of a physical activity centred intervention are sustained 2 years after the cessation of training in obese children.",RCT
0,27281306,"Total whole-grain wheat and rye intake, reflected by alkylresorcinols in plasma, was not associated with a lower risk of T2D in a population with high whole-grain intake.",Case-Control
0,17716335,TSH levels remained  normal.,RCT
0,21214610,TZP-101 substantially reduced the frequency and severity of nausea and vomiting as well as overall gastroparesis symptoms.,RCT
0,16824665,Ultrasound measures of fetal size and growth used in this study are not sufficiently accurate to predict those infants likely to be at risk from the  adverse effects of fetal hyperinsulinaemia.,Retrospective
0,10362457,"Unlike previous studies, our data do not support an association of HbA1c with arterial hypertension that is statistically independent of age and body mass index.",Cross-Sectional
0,17300592,"Vildagliptin is effective and well tolerated when added to a maximum  dose of pioglitazone, without increasing the risk of hypoglycaemia.",RCT
1,21142752,We conclude that it is important to encourage physical activity in this population.,RCT
0,25386084,We demonstrate that obesity is a risk factor for developing severe AP.,Prospective
2,25198723,"We found a positive relationship between alcohol consumption and breast cancer risk, suggesting that this modifiable risk factor should be addressed in breast cancer prevention programs in Africa.",Case-Control
0,17716335,We found normal fT4 levels in most PWS children.,RCT
0,18650507,We have identified common variants in SLCO1B1 that are strongly associated with an increased risk of statin-induced myopathy.,RCT
0,25295795,Weight loss (> 3%) among patients with T2DM was associated with decreased costs and lower rates of treatment discontinuation.,Retrospective
2,15947625,Weight loss of 5% to 10% has an efficacy similar to that of other  nonsurgical treatments and should be considered a first line therapy for incontinence.,RCT
1,15947625,Weight reduction is an effective treatment for overweight and obese  women with UI.,RCT
0,23046046,"When used for evaluation of a palpable breast mass with negative traditional imaging, breast MRI likely offers low yield of cancer diagnosis and low specificity.",Retrospective
